Rank,Team Name,Acronym,Slug,Rank Score,Region,Team ID,search
144,Nigma Galaxy,NGX,nigma-galaxy,0.4817395984730843,ARABIAN_LEAGUE,109696092218588987,Nigma Galaxy (109696092218588987)
145,Team Liquid Honda Challengers,TL,tl-academy,0.4787404440823592,NORTH_AMERICAN_CHALLENGER_LEAGUE,99566405124618295,Team Liquid Honda Challengers (99566405124618295)
146,DRX Academy,DRX,drx-academy,0.4752578357049027,LCK_ACADEMY,108203161924300737,DRX Academy (108203161924300737)
147,FTW Esports,FTW,for-the-win-esports,0.4748251048921185,LIGA_PORTUGUESA,102787200132955066,FTW Esports (102787200132955066)
148,Janus Esports,JNS,janus-esports,0.46982134126642866,NORTH_REGIONAL_LEAGUE,107581750701049485,Janus Esports (107581750701049485)
149,SBTC ESPORTS,SE,sbtc-esports,0.469120135926622,VCS,107251231972989211,SBTC ESPORTS (107251231972989211)
150,BRO Challengers,BRO,bro-challengers,0.46036659245400874,LCK_CHALLENGERS_LEAGUE,105550036134585264,BRO Challengers (105550036134585264)
151,Team BDS Academy,BDSA,team-bds-academy,0.45953856282046845,LFL,105514907449611976,Team BDS Academy (105514907449611976)
152,Primate,PMT,primate,0.4592952342249476,SOUTH_REGIONAL_LEAGUE,109674814051390025,Primate (109674814051390025)
153,T1 Esports Academy,T1,t1-challengers,0.4578613463049028,LCK_CHALLENGERS_LEAGUE,105550059790656435,T1 Esports Academy (105550059790656435)
154,BRO Academy,BRO,fredit-brion-academy,0.4539151067946256,LCK_ACADEMY,108203169709977541,BRO Academy (108203169709977541)
155,FLUXO Academy,FX,fluxo-academy,0.45378006902305634,CBLOL_ACADEMY,109485342651298305,FLUXO Academy (109485342651298305)
156,DFM Academy,DFM,dfm-academy,0.45213122105668574,LJL_ACADEMY,106827765448944398,DFM Academy (106827765448944398)
157,Anubis Gaming,ANB,anubis-gaming,0.45101620914239615,ARABIAN_LEAGUE,109696073114910519,Anubis Gaming (109696073114910519)
158,Geekay Esports,GK,geekay-esports,0.44787643228885826,ARABIAN_LEAGUE,109696126554266494,Geekay Esports (109696126554266494)
159,AXZ Academy,AXZ,axz-academy,0.44633403995834753,LJL_ACADEMY,106827823550343961,AXZ Academy (106827823550343961)
160,GamerLegion,GL,gamerlegion,0.4432573548542725,PRIMELEAGUE,103877589042434434,GamerLegion (103877589042434434)
161,FURIA Academy,FUR,furia-academy,0.4420047826682636,CBLOL_ACADEMY,105549991104165282,FURIA Academy (105549991104165282)
162,eSuba,ESB,esuba,0.4394702593516335,HITPOINT_MASTERS,102787200129022886,eSuba (102787200129022886)
163,Vanir,VNR,vanir,0.4393545546405509,NLC,107423083507599175,Vanir (107423083507599175)
164,LDLC OL,LDLC,ldlc-ol,0.4387079391647094,LFL,103877675241047720,LDLC OL (103877675241047720)
165,Guasones,GSNS,guasones,0.4386663349532929,SUPERLIGA,107564135791716115,Guasones (107564135791716115)
166,Northern Lions Esports,NLE,northern-lions-esports,0.4360507040952004,ELITE_SERIES,109539675734129088,Northern Lions Esports (109539675734129088)
167,Peek Gaming,PK,peek-gaming,0.4311310936116554,NORTH_REGIONAL_LEAGUE,107581212180071788,Peek Gaming (107581212180071788)
168,Myth Esports,MYTH,myth-esports,0.4263005664814265,ELITE_SERIES,110424397251619481,Myth Esports (110424397251619481)
169,Tomorrow Esports,TMR,tomorrow-esports,0.4261498017357316,NORTH_REGIONAL_LEAGUE,107581296208168309,Tomorrow Esports (107581296208168309)
170,Fourth Wall,4W,fourth-wall,0.421226567482743,NLC,110425157952111645,Fourth Wall (110425157952111645)
171,Crvena Zvezda Esports,CZV,crvena-zvezda-esports,0.418667627748082,ESPORTS_BALKAN_LEAGUE,102787200124959636,Crvena Zvezda Esports (102787200124959636)
172,GNG Esports,GNG,gng-esports,0.4154200943161976,ARABIAN_LEAGUE,109696047948627764,GNG Esports (109696047948627764)
173,Zylant Esports,ZLT,zylant-esports,0.4134791576864382,NA,107581300297680248,Zylant Esports (107581300297680248)
174,BC Academy,BC,bc-academy,0.4132500131430801,LJL_ACADEMY,106827848618374543,BC Academy (106827848618374543)
175,HLE Academy,HLE,hle-academy,0.4061065884756822,LCK_ACADEMY,108203173414485265,HLE Academy (108203173414485265)
176,WLGaming Esports,WLG,we-love-gaming,0.40237952981992353,GREEK_LEGENDS,102787200149928963,WLGaming Esports (102787200149928963)
177,Disguised,DSG,disguised,0.40230967730654793,NORTH_AMERICAN_CHALLENGER_LEAGUE,110428362822825796,Disguised (110428362822825796)
178,Eintracht Frankfurt,SGE,eintracht-frankfurt,0.4022392509296761,PRIMELEAGUE,107456355516438414,Eintracht Frankfurt (107456355516438414)
179,Dynamo Eclot,DNE,dynamo-eclot,0.40039385630047425,HITPOINT_MASTERS,106382545123328648,Dynamo Eclot (106382545123328648)
180,AOE Gold,AOE,aoe-esports,0.3976284308155252,NORTH_AMERICAN_CHALLENGER_LEAGUE,106857734387052095,AOE Gold (106857734387052095)
181,SINNERS Esports,SIN,sinners-esports,0.3975187683227198,HITPOINT_MASTERS,104710678170825211,SINNERS Esports (104710678170825211)
182,Odivelas Sports Club,OSC,odivelas-sports-club,0.395012750170849,LIGA_PORTUGUESA,107574959289974368,Odivelas Sports Club (107574959289974368)
183,INTZ Academy,ITZ,intz-academy,0.3945764173609899,CBLOL_ACADEMY,105549993449477104,INTZ Academy (105549993449477104)
184,Macko Esports,MCK,macko-esports,0.3944389223740984,PG_NATIONALS,105536918475957734,Macko Esports (105536918475957734)
185,Team Bliss,TB,team-bliss,0.3896025554054296,LCO,109675484017801229,Team Bliss (109675484017801229)
186,All Knights,AK,all-knights,0.3890527843044071,LLA,101383792559569368,All Knights (101383792559569368)
187,Team ESCA Gaming,ESCA,team-esca-gaming,0.3890441927597629,ULTRALIGA,105521412995449549,Team ESCA Gaming (105521412995449549)
188,Liiv SANDBOX Youth,LSB,lsb-challengers,0.3887025679874732,LCK_CHALLENGERS_LEAGUE,105550051809743868,Liiv SANDBOX Youth (105550051809743868)
189,FlyQuest Challengers,FLY,fly-academy,0.38533441957461934,NORTH_AMERICAN_CHALLENGER_LEAGUE,99566405126602853,FlyQuest Challengers (99566405126602853)
190,Furious Gaming,FG,furious-gaming,0.3828644674491362,SOUTH_REGIONAL_LEAGUE,99566408356697119,Furious Gaming (99566408356697119)
191,Cincinnati Fear,FEAR,cincinnati-fear,0.38235081980476326,NORTH_AMERICAN_CHALLENGER_LEAGUE,108361552741927561,Cincinnati Fear (108361552741927561)
192,Liberty,LBR,liberty,0.3811831716222747,CBLOL-BRAZIL,99566408222831088,Liberty (99566408222831088)
193,Los Grandes Academy,LOS,los-grandes-academy,0.3783540104030724,CBLOL_ACADEMY,109485351596724390,Los Grandes Academy (109485351596724390)
194,Liiv SANDBOX Academy,LSB,liiv-sandbox-academy,0.37682222338064353,LCK_ACADEMY,108203166973601408,Liiv SANDBOX Academy (108203166973601408)
195,Wildcard,WC,wildcard-gaming,0.376454814927032,NORTH_AMERICAN_CHALLENGER_LEAGUE,105913238372341488,Wildcard (105913238372341488)
196,Astralis,AST,astralis,0.37526952987792145,LEC,101383793569248484,Astralis (101383793569248484)
