tournament,team,league,rank,tourn_id
LCS Proving Grounds Spring 2022,fly-academy,north_american_challenger_league,0.6511150323056863,107921288851375933
LCS Proving Grounds Spring 2022,clg-academy,NA,0.5596879506116185,107921288851375933
LCS Proving Grounds Spring 2022,dig-academy,NA,0.4863954133589496,107921288851375933
LCS Proving Grounds Spring 2022,gg-academy,NA,0.47389921021917636,107921288851375933
LCS Proving Grounds Spring 2022,100-academy,NA,0.4139571720137657,107921288851375933
LCS Proving Grounds Spring 2022,tl-academy,north_american_challenger_league,0.3536639316535189,107921288851375933
LCS Proving Grounds Spring 2022,maryville-saints,NA,0.11757466176258446,107921288851375933
LCS Proving Grounds Spring 2022,imt-academy,NA,0.059656145677159746,107921288851375933
LCS Proving Grounds Spring 2022,tsm-academy,NA,0,107921288851375933
LCS Proving Grounds Summer 2021,c9-academy,NA,1,106858019190269494
LCS Proving Grounds Summer 2021,eg-academy,north_american_challenger_league,0.9898397828345378,106858019190269494
LCS Proving Grounds Summer 2021,supernova,north_american_challenger_league,0.9280440536677638,106858019190269494
LCS Proving Grounds Summer 2021,fly-academy,north_american_challenger_league,0.9184462583146349,106858019190269494
LCS Proving Grounds Summer 2021,tl-academy,north_american_challenger_league,0.8755520736270131,106858019190269494
LCS Proving Grounds Summer 2021,tsm-academy,NA,0.7520012580657168,106858019190269494
LCS Proving Grounds Summer 2021,100-academy,NA,0.7386739244310776,106858019190269494
LCS Proving Grounds Summer 2021,imt-academy,NA,0.5770466483681912,106858019190269494
LCS Proving Grounds Summer 2021,gg-academy,NA,0.4514322390203531,106858019190269494
LCS Proving Grounds Summer 2021,dig-academy,NA,0,106858019190269494
LCS Proving Grounds Summer 2022,tl-academy,north_american_challenger_league,1,108322950356576857
LCS Proving Grounds Summer 2022,maryville-university,north_american_challenger_league,0.7046632878602364,108322950356576857
LCS Proving Grounds Summer 2022,100-next,NA,0.6912806982675826,108322950356576857
LCS Proving Grounds Summer 2022,100-academy,NA,0.6275832726802892,108322950356576857
LCS Proving Grounds Summer 2022,aoe-esports,north_american_challenger_league,0.605934998403512,108322950356576857
LCS Proving Grounds Summer 2022,eg-academy,north_american_challenger_league,0.5938133611806948,108322950356576857
LCS Proving Grounds Summer 2022,c9-academy,NA,0.5195186269319736,108322950356576857
LCS Proving Grounds Summer 2022,dig-academy,NA,0.49282256421519416,108322950356576857
LCS Proving Grounds Summer 2022,aoe-ginger-turmeric,NA,0.4562777658004904,108322950356576857
LCS Proving Grounds Summer 2022,taco-gaming,NA,0.45502053861294384,108322950356576857
LCS Proving Grounds Summer 2022,cincinnati-fear,north_american_challenger_league,0.44556972561679403,108322950356576857
LCS Proving Grounds Summer 2022,fly-academy,north_american_challenger_league,0.41386527461443673,108322950356576857
LCS Proving Grounds Summer 2022,imt-academy,NA,0.37190243204830536,108322950356576857
LCS Proving Grounds Summer 2022,eg-prodigies,NA,0.3026803416062378,108322950356576857
LCS Proving Grounds Summer 2022,team-pending,NA,0.2405908633776436,108322950356576857
LCS Proving Grounds Summer 2022,tsm-academy,NA,0.09768215546785551,108322950356576857
LCS Proving Grounds Summer 2022,clg-academy,NA,0.07303614777520961,108322950356576857
LCS Proving Grounds Summer 2022,the-last-dance,NA,0.043243955430963904,108322950356576857
LCS Proving Grounds Summer 2022,gg-academy,NA,0.003485831128111855,108322950356576857
LCS Proving Grounds Summer 2022,dk-crew,NA,0,108322950356576857
LCS Spring 2022,team-liquid,lcs,1,107458367237283414
LCS Spring 2022,evil-geniuses,lcs,0.7474839736178822,107458367237283414
LCS Spring 2022,100-thieves,lcs,0.5530686456228948,107458367237283414
LCS Spring 2022,cloud9,lcs,0.5484917753569114,107458367237283414
LCS Spring 2022,dignitas,lcs,0.4132456036696505,107458367237283414
LCS Spring 2022,clg,NA,0.32593431682752455,107458367237283414
LCS Spring 2022,flyquest,lcs,0.32307155739376303,107458367237283414
LCS Spring 2022,tsm,lcs,0.2997477443881985,107458367237283414
LCS Spring 2022,golden-guardians,lcs,0.12483158844857281,107458367237283414
LCS Spring 2022,immortals-progressive,lcs,0,107458367237283414
LFL Summer 2022,team-bds-academy,lfl,1,108158179538212767
LFL Summer 2022,vitalitybee,lfl,0.5730105525746036,108158179538212767
LFL Summer 2022,karmine-corp,lfl,0.5538224092545061,108158179538212767
LFL Summer 2022,ldlc-ol,lfl,0,108158179538212767
MSI 2022,g2-esports,lec,1.1322363448182935,107905284983470149
MSI 2022,fastpay-wildcats,turkiye-sampiyonluk-ligi,0.9,107905284983470149
MSI 2022,t1,lck,0.7213666686384876,107905284983470149
MSI 2022,evil-geniuses,lcs,0.5170185474092928,107905284983470149
MSI 2022,order,NA,0.5167686479746848,107905284983470149
