team_id,slug,rawscore,league_slug,league_balance_factor,ranking_raw_balanced,league_weight,rank
99294153828264740,100-thieves,-0.9286155751177321,lcs,1,0.5012707394985176,1.4,0.7017790352979246
107258254469504696,team-flash,-0.49386039155275485,vcs,1,0.5381914862092173,1.3,0.6996489320719825
101388912914513220,lpl17,-1.3487245511560257,lpl,1,0.4655937937562868,1.5,0.6983906906344302
107416483509696259,eintracht-spandau,2.3027999892251243,primeleague,1,0.7756924832252016,0.9,0.6981232349026815
107565477822627354,verdant,2.175114077991735,nlc,1,0.7648490031118281,0.9,0.6883641028006453
109642690191894407,ruddy-esports,2.058218860366197,nlc,1,0.7549219018723334,0.9,0.6794297116851001
105515219038427019,karmine-corp,2.0311352533206097,lfl,1,0.7526218787017234,0.9,0.677359690831551
107598699275015260,leviatan-esports,0.40231993873786226,lla,1,0.614297874890897,1.1,0.6757276623799868
99566404846951820,lgd-gaming,-1.550577129601093,lpl,1,0.4484518522604744,1.5,0.6726777783907116
101383793572656373,excel,1.0691258100492302,lec,0.7157853551872768,0.48023834624388834,1.4,0.6723336847414436
110418022381234710,spike-syndicate,1.912143282656717,esports_balkan_league,1,0.7425167147483832,0.9,0.6682650432735449
107700199633958891,ctbc-flying-oyster,0.3837381751255899,pcs,0.8313472662878283,0.5093829759565239,1.3,0.6621978687434812
99566404855553726,funplus-phoenix,-1.6430792482806542,lpl,1,0.44059628797262335,1.5,0.660894431958935
105549995617170853,kabum-academy,1.802933080822138,cblol_academy,1,0.7332422486750967,0.9,0.659918023807587
105550005698683818,liberty-academy,1.8001057308080708,cblol_academy,1,0.7330021414200758,0.9,0.6597019272780682
99566404856367466,lpl11,-1.656000189649436,lpl,1,0.43949900191008856,1.5,0.6592485028651328
109800832177252614,szaty-bobra,1.6844697950579812,ultraliga,1,0.7231819822687227,0.9,0.6508637840418504
105504044166670507,unicorns-of-love-sexy-edition,1.668582685806715,primeleague,1,0.7218328001110277,0.9,0.6496495200999249
105520796734358045,team-7am,1.656658545207689,elite_series,1,0.720820165434221,0.9,0.648738148890799
107467834753797729,bisons-eclub,1.5658979139321525,superliga,1,0.7131124936103921,0.9,0.6418012442493529
99566404847770461,lpl13,-1.8237870069960431,lpl,1,0.4252500295715617,1.5,0.6378750443573425
109642680932009857,nord-esports,1.491192357062594,nlc,1,0.7067682680615539,0.9,0.6360914412553985
107760667929003738,frank-esports,0.08218316534662111,pcs,0.8313472662878283,0.4880930217135332,1.3,0.6345209282275932
106827844148688268,sg-academy,1.453961192817977,ljl_academy,1,0.7036064831380293,0.9,0.6332458348242264
109480204628225868,los-grandes,-0.07117664652657855,cblol-brazil,1,0.574087089249242,1.1,0.6314957981741662
98767991930907107,immortals-progressive,-1.5200830788628172,lcs,1,0.45104150079383765,1.4,0.6314581011113727
107422385694193066,barca-esports,1.4170990928221603,superliga,1,0.7004760402850883,0.9,0.6304284362565794
102747101565183056,nongshim-redforce,-1.894032619827461,lck,1,0.4192845561811817,1.5,0.6289268342717725
107581765633427097,fuego,3.054708586583628,north_regional_league,0.8297442701568742,0.6966092072561562,0.9,0.6269482865305406
103461966965149786,mad-lions,0.5320060400873969,lec,0.7157853551872768,0.44758861177617204,1.4,0.6266240564866408
108203164850614211,ns-redforce-academy,1.3583972218820404,lck_academy,1,0.6954908969438349,0.9,0.6259418072494515
102787200136756173,berlin-international-gaming,1.326684820825914,primeleague,1,0.6927977823560328,0.9,0.6235180041204296
105550026570060790,dwg-kia-challengers,1.316175845759623,lck_challengers_league,1,0.6919053278867612,0.9,0.622714795098085
