tournament,team,league,rank
LCS Proving Grounds Summer 2021,tl-academy,north_american_challenger_league,0.8755520736270131
LCS Proving Grounds Summer 2021,tsm-academy,NA,0.7520012580657168
LCS Proving Grounds Summer 2021,100-academy,NA,0.7386739244310776
LCS Proving Grounds Summer 2021,imt-academy,NA,0.5770466483681912
LCS Proving Grounds Summer 2021,gg-academy,NA,0.4514322390203531
LCS Proving Grounds Summer 2021,dig-academy,NA,0
LCS Proving Grounds Summer 2022,tl-academy,north_american_challenger_league,1
LCS Proving Grounds Summer 2022,maryville-university,north_american_challenger_league,0.7046632878602364
LCS Proving Grounds Summer 2022,100-next,NA,0.6912806982675826
LCS Proving Grounds Summer 2022,100-academy,NA,0.6275832726802892
LCS Proving Grounds Summer 2022,aoe-esports,north_american_challenger_league,0.605934998403512
LCS Proving Grounds Summer 2022,eg-academy,north_american_challenger_league,0.5938133611806948
LCS Proving Grounds Summer 2022,c9-academy,NA,0.5195186269319736
LCS Proving Grounds Summer 2022,dig-academy,NA,0.49282256421519416
LCS Proving Grounds Summer 2022,aoe-ginger-turmeric,NA,0.4562777658004904
LCS Proving Grounds Summer 2022,taco-gaming,NA,0.45502053861294384
LCS Proving Grounds Summer 2022,cincinnati-fear,north_american_challenger_league,0.44556972561679403
LCS Proving Grounds Summer 2022,fly-academy,north_american_challenger_league,0.41386527461443673
LCS Proving Grounds Summer 2022,imt-academy,NA,0.37190243204830536
LCS Proving Grounds Summer 2022,eg-prodigies,NA,0.3026803416062378
LCS Proving Grounds Summer 2022,team-pending,NA,0.2405908633776436
LCS Proving Grounds Summer 2022,tsm-academy,NA,0.09768215546785551
LCS Proving Grounds Summer 2022,clg-academy,NA,0.07303614777520961
LCS Proving Grounds Summer 2022,the-last-dance,NA,0.043243955430963904
LCS Proving Grounds Summer 2022,gg-academy,NA,0.003485831128111855
LCS Proving Grounds Summer 2022,dk-crew,NA,0
LCS Spring 2022,team-liquid,lcs,1
LCS Spring 2022,evil-geniuses,lcs,0.7474839736178822
LCS Spring 2022,100-thieves,lcs,0.5530686456228948
LCS Spring 2022,cloud9,lcs,0.5484917753569114
LCS Spring 2022,dignitas,lcs,0.4132456036696505
LCS Spring 2022,clg,NA,0.32593431682752455
LCS Spring 2022,flyquest,lcs,0.32307155739376303
LCS Spring 2022,tsm,lcs,0.2997477443881985
LCS Spring 2022,golden-guardians,lcs,0.12483158844857281
LCS Spring 2022,immortals-progressive,lcs,0
LFL Summer 2022,team-bds-academy,lfl,1
LFL Summer 2022,vitalitybee,lfl,0.5730105525746036
LFL Summer 2022,karmine-corp,lfl,0.5538224092545061
LFL Summer 2022,ldlc-ol,lfl,0
MSI 2022,g2-esports,lec,1.1322363448182935
MSI 2022,fastpay-wildcats,turkiye-sampiyonluk-ligi,0.9
MSI 2022,t1,lck,0.7213666686384876
MSI 2022,evil-geniuses,lcs,0.5170185474092928
MSI 2022,order,NA,0.5167686479746848
MSI 2022,red-kalunga,cblol-brazil,0.43139317427145324
MSI 2022,team-aze,lla,0.4049807158668149
MSI 2022,detonation-focusme,ljl-japan,0.1111543497602917
MSI 2022,psg-talon,pcs,0
MSI 2023,t1,lck,1.3420882891799348
MSI 2023,psg-talon,pcs,1.2
MSI 2023,cloud9,lcs,0.9313400544198569
MSI 2023,geng,lck,0.7458559154289319
MSI 2023,loud,cblol-brazil,0.6136449372057101
MSI 2023,mad-lions,lec,0.5633502376923529
MSI 2023,gam-esports,vcs,0.4098326448989503
